Moon Phase,Date,Time (Universal Time)
Full Moon,2023 Feb 5,2025-01-11 18:28:00
Full Moon,2023 Mar 7,2025-01-11 12:40:00
Full Moon,2023 Apr 6,2025-01-11 04:34:00
Full Moon,2023 May 5,2025-01-11 17:34:00
Full Moon,2023 Jun 4,2025-01-11 03:42:00
Full Moon,2023 Jul 3,2025-01-11 11:39:00
Full Moon,2023 Aug 1,2025-01-11 18:32:00
Full Moon,2023 Aug 31,2025-01-11 01:35:00
Full Moon,2023 Sep 29,2025-01-11 09:57:00
Full Moon,2023 Oct 28,2025-01-11 20:24:00
Full Moon,2023 Nov 27,2025-01-11 09:16:00
Full Moon,2023 Dec 27,2025-01-11 00:33:00
Full Moon,2022 Jan 17,2025-01-11 23:48:00
Full Moon,2022 Feb 16,2025-01-11 16:56:00
Full Moon,2022 Mar 18,2025-01-11 07:17:00
Full Moon,2022 Apr 16,2025-01-11 18:55:00
Full Moon,2022 May 16,2025-01-11 04:14:00
Full Moon,2022 Jun 14,2025-01-11 11:52:00
Full Moon,2022 Jul 13,2025-01-11 18:38:00
Full Moon,2022 Aug 12,2025-01-11 01:36:00
Full Moon,2022 Sep 10,2025-01-11 09:59:00
Full Moon,2022 Oct 9,2025-01-11 20:55:00
Full Moon,2022 Nov 8,2025-01-11 11:02:00
Full Moon,2022 Dec 8,2025-01-11 04:08:00
Full Moon,2023 Jan 6,2025-01-11 23:08:00
Full Moon,2021 Jan 28,2025-01-11 19:16:00
Full Moon,2021 Feb 27,2025-01-11 08:17:00
Full Moon,2021 Mar 28,2025-01-11 18:48:00
Full Moon,2021 Apr 27,2025-01-11 03:31:00
Full Moon,2021 May 26,2025-01-11 11:14:00
Full Moon,2021 Jun 24,2025-01-11 18:40:00
Full Moon,2021 Jul 24,2025-01-11 02:37:00
Full Moon,2021 Aug 22,2025-01-11 12:02:00
Full Moon,2021 Sep 20,2025-01-11 23:55:00
Full Moon,2021 Oct 20,2025-01-11 14:57:00
Full Moon,2021 Nov 19,2025-01-11 08:57:00
Full Moon,2021 Dec 19,2025-01-11 04:35:00
Full Moon,2020 Jan 10,2025-01-11 19:21:00
Full Moon,2020 Feb 9,2025-01-11 07:33:00
Full Moon,2020 Mar 9,2025-01-11 17:48:00
Full Moon,2020 Apr 8,2025-01-11 02:35:00
Full Moon,2020 May 7,2025-01-11 10:45:00
Full Moon,2020 Jun 5,2025-01-11 19:12:00
Full Moon,2020 Jul 5,2025-01-11 04:44:00
Full Moon,2020 Aug 3,2025-01-11 15:59:00
Full Moon,2020 Sep 2,2025-01-11 05:22:00
Full Moon,2020 Oct 1,2025-01-11 21:05:00
Full Moon,2020 Oct 31,2025-01-11 14:49:00
Full Moon,2020 Nov 30,2025-01-11 09:30:00
Full Moon,2020 Dec 30,2025-01-11 03:28:00
Full Moon,2019 Jan 21,2025-01-11 05:16:00
Full Moon,2019 Feb 19,2025-01-11 15:53:00
Full Moon,2019 Mar 21,2025-01-11 01:43:00
Full Moon,2019 Apr 19,2025-01-11 11:12:00
Full Moon,2019 May 18,2025-01-11 21:11:00
Full Moon,2019 Jun 17,2025-01-11 08:31:00
Full Moon,2019 Jul 16,2025-01-11 21:38:00
Full Moon,2019 Aug 15,2025-01-11 12:29:00
Full Moon,2019 Sep 14,2025-01-11 04:33:00
Full Moon,2019 Oct 13,2025-01-11 21:08:00
Full Moon,2019 Nov 12,2025-01-11 13:34:00
Full Moon,2019 Dec 12,2025-01-11 05:12:00
Full Moon,2020 Jan 10,2025-01-11 19:21:00
Full Moon,2018 Jan 31,2025-01-11 13:27:00
Full Moon,2018 Mar 2,2025-01-11 00:51:00
Full Moon,2018 Mar 31,2025-01-11 12:37:00
Full Moon,2018 Apr 30,2025-01-11 00:58:00
Full Moon,2018 May 29,2025-01-11 14:19:00
Full Moon,2018 Jun 28,2025-01-11 04:53:00
Full Moon,2018 Jul 27,2025-01-11 20:20:00
Full Moon,2018 Aug 26,2025-01-11 11:56:00
Full Moon,2018 Sep 25,2025-01-11 02:52:00
Full Moon,2018 Oct 24,2025-01-11 16:45:00
Full Moon,2018 Nov 23,2025-01-11 05:39:00
Full Moon,2018 Dec 22,2025-01-11 17:49:00
Full Moon,2017 Jan 12,2025-01-11 11:34:00
Full Moon,2017 Feb 11,2025-01-11 00:33:00
Full Moon,2017 Mar 12,2025-01-11 14:54:00
Full Moon,2017 Apr 11,2025-01-11 06:08:00
Full Moon,2017 May 10,2025-01-11 21:42:00
Full Moon,2017 Jun 9,2025-01-11 13:10:00
Full Moon,2017 Jul 9,2025-01-11 04:07:00
Full Moon,2017 Aug 7,2025-01-11 18:11:00
Full Moon,2017 Sep 6,2025-01-11 07:03:00
Full Moon,2017 Oct 5,2025-01-11 18:40:00
Full Moon,2017 Nov 4,2025-01-11 05:23:00
Full Moon,2017 Dec 3,2025-01-11 15:47:00
Full Moon,2018 Jan 2,2025-01-11 02:24:00
Full Moon,2016 Jan 24,2025-01-11 01:46:00
Full Moon,2016 Feb 22,2025-01-11 18:20:00
Full Moon,2016 Mar 23,2025-01-11 12:01:00
Full Moon,2016 Apr 22,2025-01-11 05:24:00
Full Moon,2016 May 21,2025-01-11 21:14:00
Full Moon,2016 Jun 20,2025-01-11 11:02:00
Full Moon,2016 Jul 19,2025-01-11 22:56:00
Full Moon,2016 Aug 18,2025-01-11 09:26:00
